Date,Open,High,Low,Close,Adj Close,Volume
2025-02-07,232.6,234.0,227.26,227.63,226.6051,39707200
2025-02-10,229.57,230.59,227.2,227.65,226.8742,33115600
2025-02-11,228.2,235.23,228.13,232.62,231.8273,53718400
2025-02-12,231.2,236.96,230.68,236.87,236.0628,45243300
2025-02-13,236.91,242.34,235.57,241.53,240.7069,53614100
2025-02-14,241.25,245.55,240.99,244.6,243.7664,40896200
2025-02-18,244.15,245.18,241.84,244.47,243.6369,48822500
2025-02-19,244.66,246.01,243.16,244.87,244.0355,32204200
2025-02-20,244.94,246.78,244.29,245.83,244.9922,32316900
2025-02-21,245.95,248.69,245.22,245.55,244.7132,53197400
2025-02-24,244.93,248.86,244.42,247.1,246.2579,51326400
2025-02-25,248.0,250.0,244.91,247.04,246.1981,48013300
2025-02-26,244.33,244.98,239.13,240.36,239.5409,44433600
2025-02-27,239.41,242.46,237.06,237.3,236.4913,41153600
2025-02-28,236.95,242.09,230.2,241.84,241.0158,56833400
2025-03-03,241.79,244.03,236.11,238.03,237.2188,47184000
2025-03-04,237.71,240.07,234.68,235.93,235.126,53798100
2025-03-05,235.42,236.55,229.23,235.74,234.9366,47227600
2025-03-06,234.44,237.86,233.16,235.33,234.528,45170400
2025-03-07,235.11,241.37,234.76,239.07,238.2553,46273600
2025-03-10,235.54,236.16,224.22,227.48,226.7048,72071200
2025-03-11,223.81,225.84,217.45,220.84,220.0874,76137400
2025-03-12,220.14,221.75,214.91,216.98,216.2406,62547500
2025-03-13,215.95,216.84,208.42,209.68,208.9654,61368300
2025-03-14,211.25,213.95,209.58,213.49,212.7625,60107600
2025-03-17,213.31,215.22,209.97,214.0,213.2707,48073400
2025-03-18,214.16,215.15,211.49,212.69,211.9652,42432400
2025-03-19,214.22,218.76,213.75,215.24,214.5065,54385400
2025-03-20,213.99,217.49,212.22,214.1,213.3704,48862900
2025-03-21,211.56,218.84,211.28,218.27,217.5262,94127800
2025-03-24,221.0,221.48,218.58,220.73,219.9778,44299500
2025-03-25,220.77,224.1,220.08,223.75,222.9875,34493600
2025-03-26,223.51,225.02,220.47,221.53,220.7751,34466100
2025-03-27,221.39,224.99,220.56,223.85,223.0872,37094800
2025-03-28,221.67,223.81,217.68,217.9,217.1574,39818600
2025-03-31,217.01,225.62,216.23,222.13,221.373,65299300
2025-04-01,219.81,223.68,218.9,223.19,222.4294,36412700
2025-04-02,221.32,225.19,221.02,223.89,223.127,35905900
2025-04-03,205.54,207.49,201.25,203.19,202.4976,103419000
2025-04-04,193.89,199.88,187.34,188.38,187.738,125910900
2025-04-07,177.2,194.15,174.62,181.46,180.8416,160466300
2025-04-08,186.7,190.34,169.21,172.42,171.8324,120859500
2025-04-09,171.95,200.61,171.89,198.85,198.1723,184395900
2025-04-10,189.07,194.78,183.0,190.42,189.7711,121880000
2025-04-11,186.1,199.54,186.06,198.15,197.4747,87435900
2025-04-14,211.44,212.94,201.16,202.52,201.8298,101352900
2025-04-15,201.86,203.51,199.8,202.14,201.4511,51343900
2025-04-16,198.36,200.7,192.37,194.27,193.608,59732400
2025-04-17,197.2,198.83,194.42,196.98,196.3087,52164700
2025-04-21,193.27,193.8,189.81,193.16,192.5017,46742500
2025-04-22,196.12,201.59,195.97,199.74,199.0593,52976400
2025-04-23,206.0,208.0,202.8,204.6,203.9028,52929200
2025-04-24,204.89,208.83,202.94,208.37,207.6599,47311000
2025-04-25,206.37,209.75,206.2,209.28,208.5668,38222300
2025-04-28,210.0,211.5,207.46,210.14,209.4239,38743100
2025-04-29,208.69,212.24,208.37,211.21,210.4902,36827600
2025-04-30,209.3,213.58,206.67,212.5,211.7758,52286500
2025-05-01,209.08,214.56,208.9,213.32,212.593,57365700
2025-05-02,206.09,206.99,202.16,205.35,204.6502,101010600
2025-05-05,203.1,204.1,198.21,198.89,198.2122,69018500
2025-05-06,198.21,200.65,197.02,198.51,197.8335,51216500
2025-05-07,199.17,199.44,193.25,196.25,195.5812,68536700
2025-05-08,197.72,200.05,194.68,197.49,196.817,50478900
2025-05-09,199.0,200.54,197.54,198.53,197.8534,36453900
2025-05-12,210.97,211.27,206.75,210.79,210.3471,63775800
2025-05-13,210.43,213.4,209.0,212.93,212.4826,51909300
2025-05-14,212.43,213.94,210.58,212.33,211.8839,49325800
2025-05-15,210.95,212.96,209.54,211.45,211.0058,45029500
2025-05-16,212.36,212.57,209.77,211.26,210.8161,54737900
2025-05-19,207.91,209.48,204.26,208.78,208.3414,46140500
2025-05-20,207.67,208.47,205.03,206.86,206.4254,42496600
2025-05-21,205.17,207.04,200.71,202.09,201.6654,59211800
2025-05-22,200.71,202.75,199.7,201.36,200.937,46742400
2025-05-23,193.67,197.7,193.46,195.27,194.8597,78432900
2025-05-27,198.3,200.74,197.43,200.21,199.7894,56288500
2025-05-28,200.59,202.73,199.9,200.42,199.9989,45339700
2025-05-29,203.58,203.81,198.51,199.95,199.5299,51396800
2025-05-30,199.37,201.96,196.78,200.85,200.428,70819900
2025-06-02,200.28,202.13,200.12,201.7,201.2762,35423300
2025-06-03,201.35,203.77,200.96,203.27,202.8429,46381600
2025-06-04,202.91,206.24,202.1,202.82,202.3939,43604000
2025-06-05,203.5,204.75,200.15,200.63,200.2085,55126100
2025-06-06,203.0,205.7,202.05,203.92,203.4916,46607700
2025-06-09,204.39,206.0,200.02,201.45,201.0267,72862600
2025-06-10,200.6,204.35,200.57,202.67,202.2442,54672600
2025-06-11,203.5,204.5,198.41,198.78,198.3624,60989900
2025-06-12,199.08,199.68,197.36,199.2,198.7815,43904600
2025-06-13,199.73,200.37,195.7,196.45,196.0373,51447300
2025-06-16,197.3,198.69,196.56,198.42,198.0031,43020700
2025-06-17,197.2,198.39,195.21,195.64,195.229,38856200
2025-06-18,195.94,197.57,195.07,196.58,196.167,45394700
2025-06-20,198.24,201.7,196.86,201.0,200.5777,96813500
2025-06-23,201.63,202.3,198.96,201.5,201.0766,55814300
2025-06-24,202.59,203.44,200.2,200.3,199.8792,54064000
2025-06-25,201.45,203.67,200.62,201.56,201.1365,39525700
2025-06-26,201.43,202.64,199.46,201.0,200.5777,50799100
2025-06-27,201.89,203.22,200.0,201.08,200.6575,73188600
2025-06-30,202.01,207.39,199.26,205.17,204.7389,91912800
2025-07-01,206.67,210.19,206.14,207.82,207.3834,78788900
2025-07-02,208.91,213.34,208.14,212.44,211.9937,67941800
2025-07-03,212.15,214.65,211.81,213.55,213.1013,34955800
2025-07-07,212.68,216.23,208.8,209.95,209.5089,50229000
2025-07-08,210.1,211.43,208.45,210.01,209.5688,42848900
2025-07-09,209.53,211.33,207.22,211.14,210.6964,48749400
2025-07-10,210.51,213.48,210.03,212.41,211.9637,44443600
2025-07-11,210.57,212.13,209.86,211.16,210.7164,39765800
2025-07-14,209.93,210.91,207.54,208.62,208.1817,38840100
2025-07-15,209.22,211.89,208.92,209.11,208.6707,42296300
2025-07-16,210.3,212.4,208.64,210.16,209.7185,47490500
2025-07-17,210.57,211.8,209.59,210.02,209.5788,48068100
2025-07-18,210.87,211.79,209.7,211.18,210.7363,48974600
2025-07-21,212.1,215.78,211.63,212.48,212.0336,51377400
2025-07-22,213.14,214.95,212.23,214.4,213.9495,46404100
2025-07-23,215.0,215.15,212.41,214.15,213.7001,46989300
2025-07-24,213.9,215.69,213.53,213.76,213.3109,46022600
2025-07-25,214.7,215.24,213.4,213.88,213.4306,40268800
2025-07-28,214.03,214.85,213.06,214.05,213.6003,37858000
2025-07-29,214.18,214.81,210.82,211.27,210.8261,51411700
2025-07-30,211.9,212.39,207.72,209.05,208.6108,45512500
2025-07-31,208.49,209.84,207.16,207.57,207.1339,80698400
2025-08-01,210.87,213.58,201.5,202.38,201.9548,104434500
2025-08-04,204.51,207.88,201.68,203.35,202.9228,75109300
2025-08-05,203.4,205.34,202.16,202.92,202.4937,44155100
2025-08-06,205.63,215.38,205.59,213.25,212.802,108483100
2025-08-07,218.88,220.85,216.58,220.03,219.5677,90224800
2025-08-08,220.83,231.0,219.25,229.35,228.8681,113854000
2025-08-11,227.92,229.56,224.76,227.18,226.96,61806100
2025-08-12,228.01,230.8,227.07,229.65,229.4276,55626200
2025-08-13,231.07,235.0,230.43,233.33,233.104,69878500
2025-08-14,234.06,235.12,230.85,232.78,232.5546,51916300
2025-08-15,234.0,234.28,229.34,231.59,231.3657,56038700
2025-08-18,231.7,233.12,230.11,230.89,230.6664,37476200
2025-08-19,231.28,232.87,229.35,230.56,230.3367,39402600
2025-08-20,229.98,230.47,225.77,226.01,225.7911,42263900
2025-08-21,226.27,226.52,223.78,224.9,224.6822,30621200
2025-08-22,226.17,229.09,225.41,227.76,227.5394,42477800
2025-08-25,226.48,229.3,226.23,227.16,226.94,30983100
2025-08-26,226.87,229.49,224.69,229.31,229.0879,54575100
2025-08-27,228.61,230.9,228.26,230.49,230.2668,31259500
2025-08-28,230.82,233.41,229.34,232.56,232.3348,38074700
2025-08-29,232.51,233.38,231.37,232.14,231.9152,39418400
2025-09-02,229.25,230.85,226.97,229.72,229.4975,44075600
2025-09-03,237.21,238.85,234.36,238.47,238.2391,66427800
2025-09-04,238.45,239.9,236.74,239.78,239.5478,47549400
2025-09-05,240.0,241.32,238.49,239.69,239.4579,54870400
2025-09-08,239.3,240.15,236.34,237.88,237.6496,48999500
2025-09-09,237.0,238.78,233.36,234.35,234.123,66313900
2025-09-10,232.19,232.42,225.95,226.79,226.5704,83440800
2025-09-11,226.88,230.45,226.65,230.03,229.8072,50208600
2025-09-12,229.22,234.51,229.02,234.07,233.8433,55824200
2025-09-15,237.0,238.19,235.03,236.7,236.4708,42699500
2025-09-16,237.18,241.22,236.32,238.15,237.9194,63421100
2025-09-17,238.97,240.1,237.73,238.99,238.7586,46508000
2025-09-18,239.97,241.2,236.65,237.88,237.6496,44249600
2025-09-19,241.23,246.3,240.21,245.5,245.2622,163741300
2025-09-22,248.3,256.64,248.12,256.08,255.832,105517400
2025-09-23,255.88,257.34,253.58,254.43,254.1836,60275200
2025-09-24,255.22,255.74,251.04,252.31,252.0656,42303700
2025-09-25,253.21,257.17,251.71,256.87,256.6212,55202100
2025-09-26,254.1,257.6,253.78,255.46,255.2126,46076300
2025-09-29,254.56,255.0,253.01,254.43,254.1836,40127700
2025-09-30,254.86,255.92,253.11,254.63,254.3834,37704300
2025-10-01,255.04,258.79,254.93,255.45,255.2026,48713900
2025-10-02,256.58,258.18,254.15,257.13,256.881,42630200
2025-10-03,254.67,259.24,253.95,258.02,257.7701,49155600
2025-10-06,257.99,259.07,255.05,256.69,256.4414,44664100
2025-10-07,256.81,257.4,255.43,256.48,256.2316,31955800
2025-10-08,256.52,258.52,256.11,258.06,257.8101,36496900
2025-10-09,257.81,258.0,253.14,254.04,253.794,38322000
2025-10-10,254.94,256.38,244.0,245.27,245.0325,61999100
2025-10-13,249.38,249.69,245.56,247.66,247.4202,38142900
2025-10-14,246.6,248.85,244.7,247.77,247.53,35478000
2025-10-15,249.49,251.82,247.47,249.34,249.0985,33893600
2025-10-16,248.25,249.04,245.13,247.45,247.2104,39777000
2025-10-17,248.02,253.38,247.27,252.29,252.0457,49147000
2025-10-20,255.89,264.38,255.63,262.24,261.986,90483000
2025-10-21,261.88,265.29,261.83,262.77,262.5155,46695900
2025-10-22,262.65,262.85,255.43,258.45,258.1997,45015300
2025-10-23,259.94,260.62,258.01,259.58,259.3286,32754900
2025-10-24,261.19,264.13,259.18,262.82,262.5655,38253700
2025-10-27,264.88,269.12,264.65,268.81,268.5497,44888200
2025-10-28,268.99,269.89,268.15,269.0,268.7395,41534800
2025-10-29,269.28,271.41,267.11,269.7,269.4388,51086700
2025-10-30,271.99,274.14,268.48,271.4,271.1371,69886500
2025-10-31,276.99,277.32,269.16,270.37,270.1082,86167100
2025-11-03,270.42,270.85,266.25,269.05,268.7894,50194600
2025-11-04,268.33,271.49,267.62,270.04,269.7785,49274800
2025-11-05,268.61,271.7,266.93,270.14,269.8784,43683100
2025-11-06,267.89,273.4,267.89,269.77,269.5087,51204000
2025-11-07,269.8,272.29,266.77,268.47,268.21,48227400
2025-11-10,268.96,273.73,267.46,269.43,269.43,41312400
2025-11-11,269.81,275.91,269.8,275.25,275.25,46208300
2025-11-12,275.0,275.73,271.7,273.47,273.47,48398000
2025-11-13,274.11,276.7,272.09,272.95,272.95,49602800
2025-11-14,271.05,275.96,269.6,272.41,272.41,47431300
2025-11-17,268.82,270.49,265.73,267.46,267.46,45018300
2025-11-18,269.99,270.71,265.32,267.44,267.44,45677300
2025-11-19,265.53,272.21,265.5,268.56,268.56,40424500
2025-11-20,270.83,275.43,265.92,266.25,266.25,45823600
2025-11-21,265.95,273.33,265.67,271.49,271.49,59030800
2025-11-24,270.9,277.0,270.9,275.92,275.92,65585800
2025-11-25,275.27,280.38,275.25,276.97,276.97,46914200
2025-11-26,276.96,279.53,276.63,277.55,277.55,33431400
2025-11-28,277.26,279.0,275.99,278.85,278.85,20135600
2025-12-01,278.01,283.42,276.14,283.1,283.1,46587700
2025-12-02,283.0,287.4,282.63,286.19,286.19,53669500
2025-12-03,286.2,288.62,283.3,284.15,284.15,43538700
2025-12-04,284.1,284.73,278.59,280.7,280.7,43989100
2025-12-05,280.54,281.14,278.05,278.78,278.78,47265800
2025-12-08,278.13,279.67,276.15,277.89,277.89,38211800
